experiment,num_layers,hidden_size,regularization,num_params,best_val_acc,best_epoch,test_acc,train_acc_final,overfitting_gap
Baseline 1x128,1,128,None,101770,97.67,29,97.93,100.0,2.3299999999999983
Baseline 1x64,1,64,None,50890,97.25,29,97.36,99.926,2.676000000000002
Baseline 2x64,2,64,None,55050,97.27,29,97.67,99.808,2.538000000000011
Baseline 3x64,3,64,None,59210,97.38,16,97.42,99.692,2.3119999999999976
Baseline 4x64,4,64,None,63370,97.45,30,97.3,99.516,2.0660000000000025
Baseline 5x64,5,64,None,67530,97.36,19,97.43,99.518,2.1580000000000013
Baseline 1x256,1,256,None,203530,98.02,28,98.25,100.0,1.980000000000004
Baseline 2x256,2,256,None,269322,98.12,29,98.34,99.894,1.774000000000001
Baseline 3x256,3,256,None,335114,97.88,29,98.12,99.792,1.9120000000000061
Baseline 4x256,4,256,None,400906,97.99,21,98.06,99.754,1.76400000000001
Baseline 5x256,5,256,None,466698,98.07,20,97.98,99.57,1.5
Baseline 3x64,3,64,None,59210,97.35,24,97.49,99.652,2.3020000000000067
Baseline 3x128,3,128,None,134794,97.78,27,97.97,99.672,1.891999999999996
Baseline 3x256,3,256,None,335114,98.06,22,97.95,99.776,1.715999999999994
Baseline 3x512,3,512,None,932362,98.1,14,98.21,99.77,1.6700000000000017
Baseline 3x1024,3,1024,None,2913290,98.2,16,98.28,99.684,1.4839999999999947
Baseline 2x128,2,128,None,118282,97.96,27,97.94,99.678,1.7180000000000035
L2_wd=1e-05,2,256,L2(wd=1e-05),269322,98.07,30,98.21,99.8,1.730000000000004
L2_wd=0.0001,2,256,L2(wd=0.0001),269322,97.85,25,98.01,99.674,1.8240000000000123
L2_wd=0.001,2,256,L2(wd=0.001),269322,97.84,13,98.13,98.952,1.1119999999999948
L2_wd=0.01,2,256,L2(wd=0.01),269322,96.48,30,96.6,96.456,-0.02400000000000091
L1_lambda=1e-05,2,256,L1(lambda=1e-05),269322,98.0,20,98.26,99.684,1.6839999999999975
L1_lambda=0.0001,2,256,L1(lambda=0.0001),269322,97.67,26,97.6,98.854,1.1839999999999975
L1_lambda=0.001,2,256,L1(lambda=0.001),269322,94.71,25,95.6,95.48,0.7700000000000102
L1_lambda=0.01,2,256,L1(lambda=0.01),269322,11.29,1,11.35,11.226,-0.06399999999999828
Dropout_p=0.1,2,256,Dropout(p=0.1),269322,98.07,25,98.33,99.576,1.5060000000000002
Dropout_p=0.2,2,256,Dropout(p=0.2),269322,98.06,22,98.25,99.312,1.2519999999999953
Dropout_p=0.3,2,256,Dropout(p=0.3),269322,98.14,27,98.32,99.142,1.0019999999999953
Dropout_p=0.5,2,256,Dropout(p=0.5),269322,97.9,28,98.11,97.704,-0.19600000000001216
BatchNorm_OFF_2x256,2,256,None,269322,97.96,19,97.91,99.718,1.7580000000000098
BatchNorm_ON_2x256,2,256,BatchNorm,270346,98.15,27,98.1,99.886,1.73599999999999
BatchNorm_OFF_4x256,4,256,None,400906,98.18,28,98.11,99.638,1.4579999999999984
BatchNorm_ON_4x256,4,256,BatchNorm,402954,98.08,24,98.13,99.784,1.7040000000000077
EarlyStop_p=3,2,256,EarlyStop(p=3),269322,97.58,8,98.02,99.364,1.784000000000006
EarlyStop_p=5,2,256,EarlyStop(p=5),269322,97.87,17,98.0,99.578,1.7079999999999984
EarlyStop_p=10,2,256,EarlyStop(p=10),269322,97.81,12,97.88,99.67,1.8599999999999994
Combined_L2_Dropout,4,256,L2+Dropout,400906,98.08,26,98.14,98.472,0.3919999999999959
Combined_BN_Dropout,4,256,BatchNorm+Dropout,402954,98.24,23,98.41,98.908,0.6680000000000064
Combined_L2_Dropout_ES,4,256,L2+Dropout+EarlyStop,400906,97.95,15,97.83,98.038,0.08799999999999386
Combined_All,4,256,L2+BN+Dropout+ES,402954,98.08,14,98.23,98.142,0.06199999999999761
