perturbation,intensity,mlp_accuracy,cnn_accuracy,accuracy_diff
clean,0.0,97.95,99.11,1.1599999999999966
rotation,5.0,97.38,98.7,1.3200000000000074
rotation,10.0,96.53,98.39,1.8599999999999994
rotation,15.0,94.65,97.5,2.8499999999999943
rotation,20.0,91.26,95.46,4.199999999999989
rotation,30.0,77.61,86.48,8.870000000000005
rotation,45.0,47.96,62.76,14.799999999999997
rotation,90.0,10.77,18.3,7.530000000000001
rotation,180.0,33.65,39.15,5.5
translation,1.0,91.1,98.43,7.3300000000000125
translation,2.0,58.3,91.33,33.03
translation,3.0,24.88,63.88,39.0
translation,4.0,8.39,32.79,24.4
translation,5.0,4.13,9.41,5.28
noise,0.1,97.83,99.05,1.2199999999999989
noise,0.2,97.44,98.52,1.0799999999999983
noise,0.3,95.0,95.87,0.8700000000000045
noise,0.4,87.05,84.3,-2.75
noise,0.5,72.64,63.68,-8.96
noise,0.6,56.52,45.47,-11.050000000000004
noise,0.7,43.91,34.75,-9.159999999999997
noise,0.8,35.48,27.16,-8.319999999999997
noise,0.9,29.29,22.59,-6.699999999999999
noise,1.0,24.58,19.54,-5.039999999999999
blur,0.5,97.92,99.13,1.2099999999999937
blur,1.0,97.44,98.68,1.240000000000009
blur,1.5,93.21,97.13,3.9200000000000017
blur,2.0,74.41,93.25,18.840000000000003
blur,3.0,41.38,66.75,25.369999999999997
blur,4.0,22.93,40.06,17.130000000000003
blur,5.0,14.82,23.01,8.190000000000001
erosion,0.1,97.97,99.12,1.1500000000000057
erosion,0.3,97.52,99.04,1.5200000000000102
erosion,0.5,95.21,98.79,3.5800000000000125
erosion,0.7,81.07,96.45,15.38000000000001
erosion,0.8,65.0,89.21,24.209999999999994
erosion,0.9,47.54,70.44,22.9
erosion,1.0,34.21,56.17,21.96
erosion,2.0,9.48,14.07,4.59
erosion,3.0,8.94,11.54,2.5999999999999996
inversion,0.0,6.78,33.43,26.65
hand-drawn,0.0,10.0,10.0,0.0
