approach,n,accuracy_mean,accuracy_std
LSTM,50,0.5065999999999999,0.002142397411001665
LSTM,200,0.5032533333333333,0.004053157890939952
LSTM,1000,0.50688,0.006067706870529161
LSTM,5000,0.5932133333333334,0.05204257060864262
LSTM,25000,0.7830533333333333,0.02257248669410519
LSTM+GloVe,50,0.5022133333333333,0.005864636012196774
LSTM+GloVe,200,0.50976,0.006333908745790366
LSTM+GloVe,1000,0.51972,0.006277069379893744
LSTM+GloVe,5000,0.54272,0.034976075632733104
LSTM+GloVe,25000,0.83332,0.01699377140797966
BiLSTM+Attn,50,0.5529466666666667,0.02164948241618929
BiLSTM+Attn,200,0.6001733333333333,0.041492249343167156
BiLSTM+Attn,1000,0.7417866666666667,0.0035357727428228275
BiLSTM+Attn,5000,0.8368933333333333,0.002285334889147667
BiLSTM+Attn,25000,0.8654133333333333,0.0015561776533830822
BERT,50,0.8778333333333332,0.16218833359879975
BERT,200,0.7275,0.07480753081519712
BERT,1000,0.862,0.01925270543759155
BERT,5000,0.8931666666666667,0.0035668224265054714
BERT,25000,0.9175,0.0
Prompt-ZS,0,0.15384615384615385,0.0
Prompt-2shot,2,0.1766210747415131,0.013104389749679384
Prompt-4shot,4,0.25833333333333336,0.08910044269749105
Prompt-8shot,8,0.38720268006700165,0.09037696087079697
